position COMBINED_rate(cM/Mb) Genetic_Map(cM)
19619850 0 0
19789146 0 0
19789574 0 0
20148498 0 0
20194876 1.06131478 0.04922165686684
20198171 1.0635074207 0.0527259138180465
20199443 1.0642881078 0.0540796882911681
20203125 1.0669577561 0.0580082267491283
20209610 1.032756706 0.0647056539875383
20212635 2.4343899166 0.0720696834852533
20212642 3.8340186461 0.072096521615776
20212709 6.0869190127 0.0725043451896269
20213006 6.1025325386 0.0743167973535911
20213037 6.0467413931 0.0745042463367772
20213055 5.993882636 0.0746121362242252
20213181 2.8954638951 0.0749769646750078
20213937 0.8061511719 0.0755864149609642
20214907 0.8057954538 0.0763680365511502
20215378 0.8101504802 0.0767496174273244
20215448 0.8490983457 0.0768090543115234
20215989 7.045242682 0.0806205306024854
20216298 6.9992755133 0.0827833067360951
20219125 7.1012331501 0.102858492851428
20219418 7.1012331501 0.104939154164407
20220961 7.0773735573 0.115859541563321
20221499 7.0773013456 0.119667129687254
20221500 1.7541246483 0.119668883811902
20222854 1.7548514771 0.122044952711895
20223463 1.7562106188 0.123114484978745
20224003 1.7601540266 0.124064968153109
20224967 1.8460162068 0.125844527776464
20225332 1.9951612789 0.126572761643262
20225892 2.5624652756 0.128007742197598
20226448 2.553934255 0.129427729643378
20226495 2.5390665974 0.129547065773456
20226662 2.5116506852 0.129966511437885
20226692 2.4759251603 0.130040789192694
20226891 2.4419020193 0.130526727694534
20227304 2.4023437244 0.131518895652711
20227820 2.350467302 0.132731736780544
20227924 2.3064163976 0.132971604085894
20228302 2.3023127882 0.133841878319833
20228864 2.308083354 0.135139021164781
20229206 2.3323078962 0.135936670465282
20229929 2.364978175 0.137646549685807
20229960 2.3970204834 0.137720857320792
20230766 3.0249038486 0.140158929822764
20230821 3.3185008218 0.140341447367963
20231211 3.3181900482 0.141635541486761
20231614 3.3185414986 0.142972913710697
20232038 3.3170959214 0.144379362381370
20232146 3.3104522382 0.144736891223096
20232981 3.3104522382 0.147501118841993
20233840 3.3095786573 0.150344046908614
20239246 2.7647027588 0.165290030022686
20239479 2.0450969799 0.165766537619003
20246129 2.0443372705 0.179361380467828
20248828 2.0443343677 0.184879038926250
20249176 2.0446120432 0.185590563917284
20249879 2.0462321933 0.187029065149174
20249968 2.048527297 0.187211384078607
20254570 3.6808569586 0.204150687802084
20255790 3.6801594784 0.208640482365732
20256614 4.206458338 0.212106604036244
20258891 4.2764676671 0.221844120914231
20259003 4.2763551814 0.222323072694548
20259223 4.2781183926 0.223264258740920
20259936 4.2790169961 0.226315197859139
20260241 4.2776381043 0.227619877480950
20260443 4.2775187231 0.228483936263017
20261105 4.277719442 0.231315786533621
20261361 4.2775402574 0.232410836839515
20262019 4.2781502796 0.235225859723492
20263385 4.2792298805 0.241071287740255
20263425 4.27999116 0.241242487386655
20263825 4.2805077825 0.242954690499655
20264019 4.2803671973 0.243785081735931
20264178 4.2803687863 0.244465660372953
20264211 4.2785626897 0.244606852941713
20264912 4.2802900941 0.247607336297677
20265201 4.2801264332 0.248844292836872
20265369 4.2801503318 0.249563358092614
20265636 4.2810941955 0.250706410242813
20265855 4.2766921072 0.251643005814289
20266386 4.2908941491 0.253921470607462
20266414 4.2900780856 0.254041592793858
20266487 4.2825380759 0.254354218073399
20267014 7.7282136562 0.258426986670216
20267945 6.5901182429 0.264562386754356
20270664 6.4296955725 0.282044729015984
20272479 1.0229525682 0.283901387927267
20282652 0.9218376758 0.29327924260318
20289283 1.0938496344 0.300532559528887
20289803 2.4908880084 0.301827821293255
20290377 2.4896904086 0.303256903587791
20290683 2.483376657 0.304016816844833
20291217 1.8554917583 0.305007649443765
20291286 1.4945134442 0.305110770871415
20291539 1.1855105441 0.305410705039072
20292331 1.9948899474 0.306990657877413
20292344 2.8220625321 0.307027344690330
20292485 2.8632815463 0.307431067388359
20292680 2.8229184702 0.307981536490048
20292796 1.5627461775 0.308162815046638
